"sku","eta"
"klc514323pn","2023-12-07 00:00:00"
"klc514361nb","2023-12-07 00:00:00"
"klc514361pn","2023-12-07 00:00:00"
"klc514371nb","2023-12-07 00:00:00"
"klc514371pn","2023-12-07 00:00:00"
"klc514372nb","2023-12-07 00:00:00"
"klc514372pn","2023-12-07 00:00:00"
"klc514373nb","2023-12-07 00:00:00"
"klc514373pn","2023-12-07 00:00:00"
"klc1821ba1219","2023-12-07 00:00:00"
"klc300485ch","2023-12-07 00:00:00"
"klc304821cg","2023-12-07 00:00:00"
"klc304921cg","2023-12-07 00:00:00"
"klc304950cg","2023-12-07 00:00:00"
"klc306432sn","2023-12-07 00:00:00"
"klc306433sn","2023-12-07 00:00:00"
"klc306434sn","2023-12-07 00:00:00"
"klc307533sn","2023-12-07 00:00:00"
"klc309282vbr","2023-12-07 00:00:00"
"klc309283vbr","2023-12-07 00:00:00"
"klc309284vbr","2023-12-07 00:00:00"
"klc310472bvb","2023-12-07 00:00:00"
"klc311340pn","2023-12-07 00:00:00"
"klc311341pn","2023-12-07 00:00:00"
"klc311342pn","2023-12-07 00:00:00"
"klc311354pn","2023-12-07 00:00:00"
"klc312131vbz","2023-12-07 00:00:00"
"klc312132sn","2023-12-07 00:00:00"
"klc312135sn","2023-12-27 00:00:00"
"klc312135vbz","2023-12-07 00:00:00"
"klc312420rg","2023-12-07 00:00:00"
"klc312421rg","2023-12-07 00:00:00"
"klc312621ch","2023-12-07 00:00:00"
"klc313032eb","2023-12-07 00:00:00"
"klc313032sn","2023-12-07 00:00:00"
"klc313033eb","2023-12-07 00:00:00"
"klc313033sn","2023-12-07 00:00:00"
"klc313034eb","2023-12-07 00:00:00"
"klc313034sn","2023-12-07 00:00:00"
"klc313531brb","2023-12-07 00:00:00"
"klc313532brb","2023-12-07 00:00:00"
"klc313532ch","2023-12-07 00:00:00"
"klc313534ch","2023-12-07 00:00:00"
"klc313731ch","2023-12-07 00:00:00"
"klc313731sn","2023-12-07 00:00:00"
"klc313732ch","2023-12-07 00:00:00"
"klc313732sn","2023-12-07 00:00:00"
"klc313734sn","2023-12-07 00:00:00"
"klc315034ch","2023-12-07 00:00:00"
"klc315035ch","2023-12-07 00:00:00"
"klc315131pn","2023-12-27 00:00:00"
"klc315131sn","2023-12-27 00:00:00"
"klc315134pn","2023-12-07 00:00:00"
"klc315134sn","2023-12-07 00:00:00"
"klc315232ch","2023-12-07 00:00:00"
"klc315234ch","2023-12-07 00:00:00"
"klc315451bpn","2023-12-07 00:00:00"
"klc315531ch","2023-12-07 00:00:00"
"klc390454db","2023-12-07 00:00:00"
"klc390456db","2023-12-27 00:00:00"
"klc390465db","2023-12-01 00:00:00"
"klc403800cp","2023-12-07 00:00:00"
"klc403850cp","2023-12-07 00:00:00"
"klc500570ch","2023-12-07 00:00:00"
"klc500571ch","2023-12-07 00:00:00"
"klc501051bjt","2023-12-07 00:00:00"
"klc501850mc","2023-12-07 00:00:00"
"klc504421gl","2023-12-07 00:00:00"
"klc504422gl","2023-12-27 00:00:00"
"sea3124305en05","2023-11-07 00:00:00"
"farw242019","2023-12-07 00:00:00"
"far118007","2023-12-07 00:00:00"
"farw240795","2023-12-07 00:00:00"
"far118001","2023-12-07 00:00:00"
"farw242045","2023-12-07 00:00:00"
"farw240257","2023-12-07 00:00:00"
"far240267","2023-11-20 00:00:00"
"klc505470ol","2023-12-07 00:00:00"
"klc505471ol","2023-12-07 00:00:00"
"klc505272rm","2023-12-27 00:00:00"
"klc507960bmg","2023-12-07 00:00:00"
"klc501123ps","2023-12-01 00:00:00"
"sea8988en315","2023-10-31 00:00:00"
"expedite","2022-05-13 00:00:00"
"klc315231ch","2023-12-07 00:00:00"
"alg035060010fr001","2023-12-01 00:00:00"
"klc316335gn","2023-12-07 00:00:00"
"alg035554010fr001","2023-12-07 00:00:00"
"alg031950039fr001","2023-11-20 00:00:00"
"alg032152043fr001","2023-12-01 00:00:00"
"klc312134vbz","2023-12-07 00:00:00"
"klc313533ch","2023-12-07 00:00:00"
